system:time_start,O3_column_number_density
"Jan 1, 2022",
"Jan 1, 2022",
"Jan 1, 2022",0.179
"Jan 1, 2022",0.173
"Jan 2, 2022",
"Jan 2, 2022",0.151
"Jan 2, 2022",0.159
"Jan 2, 2022",
"Jan 3, 2022",0.184
"Jan 3, 2022",
"Jan 3, 2022",0.175
"Jan 3, 2022",
"Jan 4, 2022",0.17
"Jan 4, 2022",
"Jan 4, 2022",0.168
"Jan 4, 2022",
"Jan 5, 2022",
"Jan 5, 2022",0.167
"Jan 5, 2022",
"Jan 6, 2022",0.17
"Jan 6, 2022",0.174
"Jan 6, 2022",0.168
"Jan 6, 2022",
"Jan 7, 2022",
"Jan 7, 2022",0.177
"Jan 7, 2022",
"Jan 7, 2022",0.173
"Jan 7, 2022",
"Jan 8, 2022",0.184
"Jan 8, 2022",
"Jan 8, 2022",0.18
"Jan 8, 2022",
"Jan 9, 2022",
"Jan 9, 2022",
"Jan 9, 2022",0.185
"Jan 9, 2022",0.187
"Jan 9, 2022",
"Jan 10, 2022",
"Jan 11, 2022",0.143
"Jan 11, 2022",0.144
"Jan 11, 2022",
"Jan 11, 2022",0.144
"Jan 12, 2022",0.15
"Jan 12, 2022",0.152
"Jan 13, 2022",
"Jan 13, 2022",
"Jan 13, 2022",0.169
"Jan 13, 2022",
"Jan 14, 2022",0.18
"Jan 14, 2022",
"Jan 14, 2022",0.18
"Jan 15, 2022",
"Jan 15, 2022",0.147
"Jan 15, 2022",0.149
"Jan 15, 2022",0.147
"Jan 16, 2022",
"Jan 16, 2022",0.137
"Jan 16, 2022",0.133
"Jan 16, 2022",
"Jan 16, 2022",
"Jan 17, 2022",
"Jan 17, 2022",0.171
"Jan 17, 2022",
"Jan 17, 2022",0.161
"Jan 17, 2022",
"Jan 18, 2022",
"Jan 18, 2022",0.14
"Jan 18, 2022",
"Jan 18, 2022",0.141
"Jan 19, 2022",
"Jan 19, 2022",
"Jan 19, 2022",0.137
"Jan 19, 2022",0.137
"Jan 19, 2022",
"Jan 20, 2022",0.16
"Jan 20, 2022",
"Jan 20, 2022",0.156
"Jan 20, 2022",
"Jan 21, 2022",0.16
"Jan 21, 2022",0.162
"Jan 21, 2022",
"Jan 21, 2022",
"Jan 22, 2022",0.149
"Jan 22, 2022",0.145
"Jan 22, 2022",
"Jan 22, 2022",0.14
"Jan 22, 2022",
"Jan 23, 2022",
"Jan 23, 2022",
"Jan 23, 2022",0.16
"Jan 23, 2022",0.153
"Jan 24, 2022",
"Jan 24, 2022",0.14
"Jan 24, 2022",0.141
"Jan 24, 2022",
"Jan 25, 2022",0.146
"Jan 25, 2022",
"Jan 25, 2022",0.149
"Jan 25, 2022",
"Jan 26, 2022",
"Jan 26, 2022",0.153
"Jan 26, 2022",0.151
"Jan 26, 2022",
"Jan 27, 2022",0.156
"Jan 27, 2022",0.158
"Jan 27, 2022",
"Jan 28, 2022",
"Jan 28, 2022",
"Jan 28, 2022",0.18
"Jan 28, 2022",0.186
"Jan 28, 2022",
"Jan 29, 2022",0.148
"Jan 29, 2022",0.144
"Jan 29, 2022",
"Jan 30, 2022",0.152
"Jan 30, 2022",0.15
"Jan 30, 2022",
"Jan 31, 2022",
"Jan 31, 2022",0.164
"Jan 31, 2022",
"Jan 31, 2022",
"Feb 1, 2022",0.152
"Feb 1, 2022",
"Feb 1, 2022",0.147
"Feb 1, 2022",
"Feb 1, 2022",
"Feb 2, 2022",
"Feb 2, 2022",
"Feb 2, 2022",0.157
"Feb 2, 2022",0.156
"Feb 3, 2022",
"Feb 3, 2022",0.159
"Feb 3, 2022",0.159
"Feb 3, 2022",
"Feb 4, 2022",0.156
"Feb 4, 2022",
"Feb 4, 2022",0.154
"Feb 4, 2022",
"Feb 5, 2022",
"Feb 5, 2022",
"Feb 5, 2022",0.179
"Feb 5, 2022",
"Feb 5, 2022",0.175
"Feb 6, 2022",
"Feb 6, 2022",0.193
"Feb 6, 2022",0.188
"Feb 6, 2022",
"Feb 7, 2022",0.216
"Feb 7, 2022",0.206
"Feb 7, 2022",
"Feb 7, 2022",0.2
"Feb 7, 2022",
"Feb 8, 2022",
"Feb 8, 2022",
"Feb 8, 2022",0.165
"Feb 8, 2022",0.168
"Feb 8, 2022",
"Feb 9, 2022",0.176
"Feb 9, 2022",
"Feb 9, 2022",0.173
"Feb 9, 2022",
"Feb 10, 2022",
"Feb 10, 2022",
"Feb 10, 2022",0.177
"Feb 10, 2022",0.175
"Feb 11, 2022",
"Feb 11, 2022",0.183
"Feb 11, 2022",0.189
"Feb 11, 2022",
"Feb 12, 2022",0.166
"Feb 12, 2022",0.162
"Feb 12, 2022",
"Feb 12, 2022",0.16
"Feb 12, 2022",
"Feb 13, 2022",0.163
"Feb 13, 2022",
"Feb 13, 2022",0.162
"Feb 13, 2022",
"Feb 14, 2022",
"Feb 14, 2022",
"Feb 14, 2022",0.154
"Feb 14, 2022",0.153
"Feb 14, 2022",
"Feb 15, 2022",
"Feb 15, 2022",0.159
"Feb 15, 2022",0.158
"Feb 15, 2022",
"Feb 16, 2022",0.169
"Feb 16, 2022",0.165
"Feb 16, 2022",
"Feb 16, 2022",
"Feb 17, 2022",0.181
"Feb 17, 2022",
"Feb 17, 2022",0.172
"Feb 17, 2022",
"Feb 17, 2022",
"Feb 18, 2022",
"Feb 18, 2022",
"Feb 18, 2022",0.197
"Feb 18, 2022",0.199
"Feb 18, 2022",
"Feb 19, 2022",
"Feb 19, 2022",
"Feb 19, 2022",0.207
"Feb 19, 2022",0.212
"Feb 19, 2022",
"Feb 20, 2022",
"Feb 22, 2022",0.204
"Feb 23, 2022",0.176
"Feb 23, 2022",0.173
"Feb 23, 2022",
"Feb 23, 2022",0.177
"Feb 23, 2022",
"Feb 24, 2022",0.171
"Feb 24, 2022",
"Feb 24, 2022",0.168
"Feb 24, 2022",
"Feb 25, 2022",
"Feb 25, 2022",
"Feb 25, 2022",0.219
"Feb 25, 2022",0.228
"Feb 25, 2022",
"Feb 26, 2022",
"Feb 26, 2022",0.193
"Feb 26, 2022",0.193
"Feb 26, 2022",
"Feb 27, 2022",0.167
"Feb 27, 2022",0.167
"Feb 27, 2022",
"Feb 27, 2022",
"Feb 28, 2022",0.162
"Feb 28, 2022",
"Feb 28, 2022",0.158
"Feb 28, 2022",
"Feb 28, 2022",0.153
"Mar 1, 2022",
"Mar 1, 2022",
"Mar 1, 2022",0.158
"Mar 1, 2022",0.157
"Mar 1, 2022",
"Mar 2, 2022",
"Mar 2, 2022",
"Mar 2, 2022",0.154
"Mar 2, 2022",0.162
"Mar 2, 2022",
"Mar 3, 2022",
"Mar 3, 2022",0.209
"Mar 3, 2022",0.208
"Mar 3, 2022",
"Mar 4, 2022",0.169
"Mar 4, 2022",
"Mar 4, 2022",0.168
"Mar 4, 2022",
"Mar 4, 2022",
"Mar 5, 2022",
"Mar 5, 2022",0.149
"Mar 5, 2022",
"Mar 5, 2022",0.155
"Mar 5, 2022",
"Mar 6, 2022",
"Mar 6, 2022",
"Mar 6, 2022",0.169
"Mar 6, 2022",0.162
"Mar 6, 2022",
"Mar 7, 2022",
"Mar 7, 2022",0.158
"Mar 7, 2022",
"Mar 7, 2022",0.157
"Mar 7, 2022",
"Mar 8, 2022",0.166
"Mar 8, 2022",
"Mar 8, 2022",0.167
"Mar 8, 2022",
"Mar 9, 2022",
"Mar 10, 2022",0.147
"Mar 10, 2022",0.155
"Mar 10, 2022",
"Mar 10, 2022",
"Mar 11, 2022",0.143
"Mar 11, 2022",0.143
"Mar 11, 2022",
"Mar 11, 2022",0.143
"Mar 12, 2022",
"Mar 12, 2022",
"Mar 12, 2022",0.145
"Mar 12, 2022",0.147
"Mar 13, 2022",
"Mar 13, 2022",0.155
"Mar 13, 2022",0.157
"Mar 13, 2022",
"Mar 14, 2022",0.168
"Mar 14, 2022",0.177
"Mar 14, 2022",
