system:time_start,O3_column_number_density
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",0.12
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 30, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",0.12
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"May 31, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",0.12
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 1, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",0.121
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 2, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",0.123
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 3, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",0.122
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 4, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",0.121
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 5, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",0.119
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 6, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",0.12
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 7, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",0.119
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 8, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",0.118
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 9, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",0.119
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 10, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",0.119
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 11, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",0.118
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 12, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",0.119
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 13, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",0.12
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 14, 2022",
"Jun 15, 2022",
"Jun 15, 2022",
